Trek Name,Region,Difficulty,Duration,Distance,Altitude,Best Time,Description
Chumnai Sar Trek,Uttarakhand,and,10-11 hr,102 km,"6,560 ft",to do,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chumnai Sar Trek - An Offbeat Weekend Trek near Pahalgam</title><meta name=""description"" content=""The detailed guide to Chumnai Sar Trek - gpx file, highlights, trail information, difficult sections on the trek, best season to do, food and water sources, network and ATMs, Emergency contacts, find out all the information you need to do this trek on your own""/><meta property=""og:title"" cont"
Churdhar Peak Trek,Uttarakhand,walks,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Churdhar Peak Trek</title><meta name=""description"" content=""Photos and information for the Churdhar Peak Trek. This is all the information required for the Churdhar trek""/><meta property=""og:title"" content=""Churdhar Peak Trek""/><meta property=""og:description"" content=""Photos and information for the Churdhar Peak Trek. This is all the information required for the Churdhar trek""/><meta prop"
D,Uttarakhand,Easy,10-11 hr,190 km,"3,556 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Visapur Fort Trek</title><meta name=""description"" content=""Find out all the details you need to know about Visapur Fort Trek to do it on your own.""/><meta property=""og:title"" content=""Visapur Fort Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about Visapur Fort Trek to do it on your own.""/><meta property=""og:image"" itemprop=""image"" content=""http"
Dabbe Falls,Uttarakhand,trek,10-11 hr,1 km,"6,560 ft",to do the Dabbe Falls Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dabbe Falls Trek - Trek to a Hidden Waterfall near Jog Falls</title><meta name=""description"" content=""The complete guide to Dabbe Falls Trek - Trail information, pictures, highlights, difficult sections, food and water sources, how to reach, FAQs, find everything you need to do this trek on your own""/><meta property=""og:title"" content=""Dabbe Falls Trek - Trek to a Hidden Waterfall near Jo"
Danizab Meadow Trek,Uttarakhand,trek,10-11 hr,48 km,"7,110 feet",to do The Danizab Meadow Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Danizab Meadow Trek - Trek to one of the Highest Alpine Meadows of Pir Panjal in Kashmir</title><meta name=""description"" content=""Explore the Danizab Meadow Trek, one of the highest alpine meadows of the Pir Panjal region in Kashmir. Find out all the information you need to plan your trek.""/><meta property=""og:title"" content=""Danizab Meadow Trek - Trek to one of the Highest Alpine Meadows"
Darati Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",and no one was willing to step out of their fields,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Darati Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Darati Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/015c0b00-7bb8-41e5-aa98-076b9452aaae_%281%29+Durati+Pass+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:im"
Darcha Padum Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Darcha Padum Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Darcha Padum Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/cfa1138a-5385-425f-996d-01f8fe78bbeb_%281%29Darcha+Padum+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:"
David Scott Trek,Uttarakhand,difficulty,10-11 hr,1.5 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>David Scott Trek - Trek through the Khasi Hills of Meghalaya</title><meta name=""description"" content=""David Scott Trek is a historical trail through Khasi Hills in Meghalaya. A detailed guide to trek on your own with route information, photos, GPX file and tips.""/><meta property=""og:title"" content=""David Scott Trek - Trek through the Khasi Hills of Meghalaya""/><meta property=""og:descripti"
Deo Tibba Trek,Uttarakhand,Easy,10-11 hr,190 km,8858ft,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Deo Tibba Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Deo Tibba Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/061931d8-b6bd-4b25-b10c-ffc323717338_%281%29+Deo+Tibba+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:image:wi"
Devkund Waterfall Trek,Uttarakhand,Easy,10-11 hr,190 km,"2,000 ft",to experience the falls if one needs to click better pictures,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Devkund Waterfall Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Devkund Waterfall Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/e997b071-f83c-4543-8c59-b55ed915ae7f_%2810%29+Devkund+Waterfall-+A+rope+marks+out+the+safe+section+from+the+unsafe+section+in+the+po"
Dhankar Lake Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dhankar Lake Trek </title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dhankar Lake Trek ""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/07f0701a-73b7-4831-abd7-99e3afb0bfd3_Dhankar+Lake+Trek+-+Banner+Image+-+Indiahikes+Archives.jpg?auto=compress,format""/><meta property=""og:im"
Dhanna Kunnu Pass Trek,Uttarakhand,walk,10-11 hr,14 km,7311ft,in the openings which seem like a small meadow,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dhanna Kunnu Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dhanna Kunnu Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/5a5a7590-de04-44be-935e-5158490f14f0_dhanna-kunnu-indiahikes-krunal.jpg?auto=compress,format""/><meta property=""og:image:width"" conte"
Dharansi Pass Trek,Uttarakhand,Easy,10-11 hr,25 km,"6,560 ft",demands so you can keep yourself protected during the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dharansi Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dharansi Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/9c007882-ba46-4e43-b315-9301bff74fc3_Dharansi-Pass-Banner-Image-Indiahikes.jpg?auto=compress,format""/><meta property=""og:image:width"" conten"
Dhodap Fort Trek,Uttarakhand,offers,10-11 hr,2.21 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dhodap Fort Trek</title><meta name=""description"" content=""Unknown to many, Dhodap Fort Trek offers great experiences, and explorations. A detailed guide to trek on your own with informative photos, tips and GPX File.""/><meta property=""og:title"" content=""Dhodap Fort Trek""/><meta property=""og:description"" content=""Unknown to many, Dhodap Fort Trek offers great experiences, and explorations."
Dodital Darwa Pass Yamunotri Trek,Uttarakhand,path,10-11 hr,190 km,"1,600 m",to visit Dodital is from April to November,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dodital – Darwa Pass – Yamunotri Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dodital – Darwa Pass – Yamunotri Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/cc3af9d5-d4dc-4d9f-a357-55ce074db81e_Dodital+%E2%80%93+Darwa+Pass+%E2%80%93+Yamunotri+Trek+-+Indiahike"
Dodital Darwa Top Trek,Uttarakhand,in,10-11 hr,190 km,"6,560 ft",demands so you can keep yourself protected during the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dodital and Darwa Top Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dodital and Darwa Top Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/caf647d9-e0d1-44ce-a185-9746bb83ec5d_dodital+banner+image+indiahikes+archives.jpg?auto=compress,format""/><meta property=""og:"
Dodital Winter Trek,Uttarakhand,camping,10-11 hr,190 km,"6,560 ft",demands so you can keep yourself protected during the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dodital Winter Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dodital Winter Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/a5938d50-677d-4537-b226-49e2b851b9e8_dodital-winter-trek-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"" co"
Doodhpatri Trek,Uttarakhand,walk,10-11 hr,5 km,"8,943 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Doodhpathri Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Doodhpathri Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/82c0d34e-0178-4e20-a0ef-2acd3673f776_doodhpathri-aashay-surve-indiahikes.jpg?auto=compress,format""/><meta property=""og:image:width"" content=""300"
Dudhsagar Waterfalls Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dudhsagar waterfalls trek</title><meta name=""description"" content=""Pictures and trail information. This is the only guide you&#x27;ll ever need to plan a trek to Doodhsagar.""/><meta property=""og:title"" content=""Dudhsagar waterfalls trek""/><meta property=""og:description"" content=""Pictures and trail information. This is the only guide you&#x27;ll ever need to plan a trek to Doodhsagar.""/><m"
Dudhsagar Waterfalls,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dudhsagar Waterfalls</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Dudhsagar Waterfalls""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/65c8cdb9-6486-4780-8c12-0f7bf4f3deb0_dudhsagar+waterfall+trek+-+banner+image+-+indiahikes+archives.jpg?auto=compress,format""/><meta prop"
Durg Dhakoba Trek,Uttarakhand,Easy,10-11 hr,190 km,"3,900 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Durg Dhakoba Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Durg Dhakoba Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/ca7c3ac6-ea58-436d-8a79-230cd96cf458_Durg-Dhakoba-banner-image-Indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"" "
Dzukou Valley And Japfu Peak Trek,Uttarakhand,and,10-11 hr,190 km,"8,045 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Dzukou Valley and Japfu Peak Trek</title><meta name=""description"" content=""photos and trail information for Dzukou Valley and Japfu Peak. This is all the information you need for doing Dzukou valley and japfu peak.""/><meta property=""og:title"" content=""Dzukou Valley and Japfu Peak Trek""/><meta property=""og:description"" content=""photos and trail information for Dzukou Valley and Japfu Peak."
Ettina Bhuja Trek,Uttarakhand,with,10-11 hr,190 km,"6,560 ft",to Visit Ettina Bhuja,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ettina Bhuja Trek</title><meta name=""description"" content=""Maps, pictures, GPX file, trail and route information, permission - the only guide you&#x27;ll ever need to plan a trek to Ettina Bhuja!""/><meta property=""og:title"" content=""Ettina Bhuja Trek""/><meta property=""og:description"" content=""Maps, pictures, GPX file, trail and route information, permission - the only guide you&#x27;ll ev"
Gandikota Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Gandikota Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Gandikota Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d89e3afc-e799-4e17-98b8-98574d1e3f52_gandikota+trek+-+banner+image+-+indiahikes+-+Krishna+Srivatsa+Nimmaraju.jpg?auto=compress,format""/><meta proper"
Gangadikal Trek,Uttarakhand,Easy,10-11 hr,1.9 km,"6,560 ft",to do the Gangadikal Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Gangadikal Trek - Trek to the least explored trek in the Kudremukh range</title><meta name=""description"" content=""Maps, Pictures, downloadable GPX file and trail information. this is the only guide you&#x27;ll ever need to plan a trek to Gangadikal.""/><meta property=""og:title"" content=""Gangadikal Trek - Trek to the least explored trek in the Kudremukh range""/><meta property=""og:descriptio"
George Everest Peak Trek,Uttarakhand,level,10-11 hr,4 km,"6,560 ft",to do the George Everest Peak Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>George Everest Peak Trek - Trek to one of the Most Historical Peaks near Mussoorie</title><meta name=""description"" content=""The complete guide to George Everest Peak Trek - Trail information, highlights, gpx file, difficult sections on the trail, food and water sources, Frequently Asked Questions, how to reach the base, find out all the details you need to do this trek on your own.""/><met"
Gorakhgad Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Gorakhgad Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Gorakhgad Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/2f4ffe9b-5467-4d08-86c4-ca681b37311d_gorakhgad-banner+image-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"" content="""
Gosaikunda Trek,Uttarakhand,Easy,10-11 hr,116 km,3900m,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Gosaikunda Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Gosaikunda Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/3651c722-c39a-4161-838c-087068fbbd75_Gosaikunda-Trek-Banner-Image-Indiahikes-Archives.jpg?auto=compress,format""/><meta property=""og:image:width"" c"
Gwaru Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",to do the the Gwaru Pass Trek is between June last week to August,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Gwaru Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Gwaru Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/24bfe23a-f155-4c50-beb5-154d676328dc_Gwaru-Pass-Banner-Image-Indiahikes.jpg?auto=compress,format""/><meta property=""og:image:width"" content=""300""/>"
Halu Chilume Gange Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",To Do Halu Chilume Gange Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Halu Chilume Gange Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Halu Chilume Gange Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/139936a0-ebfe-49aa-8029-4f439dcb082d_Halu+Chilume+Gange_+IH+archive_+Fort+walls.jpg?auto=compress,format""/><meta property=""og:imag"
Handi Gundi Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",To Do Handi Gundi Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Handi Gundi Trek</title><meta name=""description"" content=""Maps, pictures, GPX File, GPS Coordinates, trail and route information - the only guide you&#x27;ll ever need to plan a trek to Handi Gundi!""/><meta property=""og:title"" content=""Handi Gundi Trek""/><meta property=""og:description"" content=""Maps, pictures, GPX File, GPS Coordinates, trail and route information - the only guide you&#x2"
Hanol Trek,Uttarakhand,Easy,10-11 hr,9 km,"6,560 ft",to do the Hanol Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Hanol Trek - A trek to experience the culture of Uttarakhand</title><meta name=""description"" content=""The complete guide to Hanol Trek - Highlights, trail information, gpx file, best season, difficult sections, FAQs, find out all the information you need to do this trek on your own""/><meta property=""og:title"" content=""Hanol Trek - A trek to experience the culture of Uttarakhand""/><meta pr"
Harihar Fort Trek,Uttarakhand,level,10-11 hr,2.4 km,"6,560 ft",to do the Harihar Fort trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Harihar Fort Trek - The Trek With The Most Iconic Climb In The Sahyadris</title><meta name=""description"" content=""Harihar fort is situated in the Nashik region. A detailed documentation guide to trek on your own with informative photos, tips and GPX File.""/><meta property=""og:title"" content=""Harihar Fort Trek - The Trek With The Most Iconic Climb In The Sahyadris""/><meta property=""og:desc"
Harihara Betta Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Harihara Betta Trek</title><meta name=""description"" content=""Harihara Betta is a trek located very close to the Bangalore Airport. An unknown trek with detailed guide with photos, trail map, GPX.""/><meta property=""og:title"" content=""Harihara Betta Trek""/><meta property=""og:description"" content=""Harihara Betta is a trek located very close to the Bangalore Airport. An unknown trek with deta"
Harishchandragad Trek,Uttarakhand,level,10-11 hr,1.3 km,"6,560 ft",to do Harishchandragad Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Harishchandragad Trek - The Pride of Maharashtra</title><meta name=""description"" content=""Harishchandragad is one of the most challenging treks in the Western Ghats. A detailed documentation guide to trek on your own with informative photos, tips, GPX File, detailed guide on how the trail is, food and water sources, difficult sections, emergency contacts, how to reach and frequently asked"
Hatu Peak Trek,Uttarakhand,Easy,10-11 hr,190 km,"3,400 m",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Hatu Peak Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Hatu Peak Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/10d25b38-8d4b-4aa8-bda9-acceadd7826d_Hatu-Peak-Banner-Image-Indiahikes-Archives.jpg?auto=compress,format""/><meta property=""og:image:width"" content="""
Huliyurdurga Trek,Uttarakhand,and,10-11 hr,3 km,"6,560 ft",when there is no slippery rocks to climb,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Huliyurdurga Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Huliyurdurga Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/0f5b32b9-fe92-4dbb-87a4-bf7fa50a9c41_Huliyurdurga+Trek+-+Banner+-+Indiahikes+Archives.jpg?auto=compress,format""/><meta property=""og:image:widt"
Indrahar Pass Trek,Uttarakhand,of,10-11 hr,190 km,"6,560 ft",you might come across Gaddi camps with their sheep,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Indrahar Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Indrahar Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/688a902d-ca31-493f-b387-e0e3a2df5116_Indrahar-Banner+Image-Indiahikes.jpg?auto=compress,format""/><meta property=""og:image:width"" content=""30"
Irshalgad Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Irshalgad Trek</title><meta name=""description"" content=""The only guide you&#x27;ll ever need to plan a trek to Irshalgad""/><meta property=""og:title"" content=""Irshalgad Trek""/><meta property=""og:description"" content=""The only guide you&#x27;ll ever need to plan a trek to Irshalgad""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/48d1f738-5e7b-4f7b-a"
Jalsu Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Jalsu Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Jalsu Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/3a3af883-c7cf-4779-8ed9-5e142ce71aad_Jalsu-banner+image+-+indiahikes+archives.jpg?auto=compress,format""/><meta property=""og:image:width"" content="""
Jiwa Nala  Parvati Valley Trek,Uttarakhand,Easy,10-11 hr,8 km,6889 feet,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Jiwa Nala – Parvati Valley Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Jiwa Nala – Parvati Valley Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/4564cb45-e0fc-4148-8e3b-27b2ee339156_Jiwa-Nala-Parvati-Valley-Trek-Indiahikes+Archives.jpg?auto=compress,format""/>"
Jogin Advance Base Camp Trek,Uttarakhand,trail,10-11 hr,190 km,"6,560 ft",due to the havoc the weather plays in this region,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Jogin Advance Base Camp Trek</title><meta name=""description"" content=""Explore the Jogin Advance Base Camp Trek, one of the challenging treks in Uttarakhand. Find out all the information you need to plan your trek.""/><meta property=""og:title"" content=""Jogin Advance Base Camp Trek""/><meta property=""og:description"" content=""Explore the Jogin Advance Base Camp Trek, one of the challenging tre"
Kalavantin Durg Trek,Uttarakhand,and,10-11 hr,190 km,"6,560 ft",and How to reach - the only guide you,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kalavantin Durg Trek - A Popular Thrilling Trek in Maharashtra</title><meta name=""description"" content=""Maps, Trail information, Pictures, GPX File, Tips, Best time and How to reach - the only guide you&#x27;ll ever need to plan a trek to Kalavantin (Maharashtra)!""/><meta property=""og:title"" content=""Kalavantin Durg Trek - A Popular Thrilling Trek in Maharashtra""/><meta property=""og:descr"
Kali Cho Pass,Uttarakhand,level,10-11 hr,190 km,4950 m,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kali-Cho Pass Trek</title><meta name=""description"" content=""Kali-Cho Pass Trek - Find out all the details about Khali-Cho pass trek""/><meta property=""og:title"" content=""Kali-Cho Pass Trek""/><meta property=""og:description"" content=""Kali-Cho Pass Trek - Find out all the details about Khali-Cho pass trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahik"
Kalpeshwar Rudranath Trek,Uttarakhand,walk,10-11 hr,190 km,"7,217 ft",you are going in,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kalpeshwar Rudranath Trek - A trek to the two of Panch Kedar temples</title><meta name=""description"" content=""Find out all the details about less known Kalpeshwar Rudranath Trek""/><meta property=""og:title"" content=""Kalpeshwar Rudranath Trek - A trek to the two of Panch Kedar temples""/><meta property=""og:description"" content=""Find out all the details about less known Kalpeshwar Rudranath T"
Kalsubai Peak Trek,Uttarakhand,trek,10-11 hr,3 km,"6,560 ft",can be tricky on these ladders,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kalsubai Peak Trek</title><meta name=""description"" content=""Maps, pictures, GPX File, GPS Coordinates, trail and route information - the only guide you&#x27;ll ever need to plan a trek to Kalsubai Peak Trek!""/><meta property=""og:title"" content=""Kalsubai Peak Trek""/><meta property=""og:description"" content=""Maps, pictures, GPX File, GPS Coordinates, trail and route information - the only gu"
Kamandurg Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",to visit the Western Ghats,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kamandurg Trek</title><meta name=""description"" content=""Find out all the details about Kamandurg trek""/><meta property=""og:title"" content=""Kamandurg Trek""/><meta property=""og:description"" content=""Find out all the details about Kamandurg trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/8d06e7f1-4f74-4d14-8def-6624f530f19c_Kamandurg-bannerimage"
Kanari Khal Trek,Uttarakhand,Easy,10-11 hr,190 km,"2,800 m",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kanari Khal Trek</title><meta name=""description"" content=""Kanari Khal Trek - Find out all the details about Kanari Khal Trek""/><meta property=""og:title"" content=""Kanari Khal Trek""/><meta property=""og:description"" content=""Kanari Khal Trek - Find out all the details about Kanari Khal Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/26c4abd1-228"
Kareri Lake Trek,Uttarakhand,DIY,10-11 hr,190 km,"5,905 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kareri Lake Trek</title><meta name=""description"" content=""Find out all the details you need to know about Kareri Lake Trek""/><meta property=""og:title"" content=""Kareri Lake Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about Kareri Lake Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/8e09d6a5-1bc6-4f"
